Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Tyler Wade","OAK",26,55,0,8,2,4,0.07272727,0.23636364,0.05882353,0.34210526,0.25490196,0.30909091,0.31372549,0.2781987439502369,0.251,78.46170953428238,0.5856392220593989,-0.8360628482698806,0.3438470410183072,0.13883648516896446,"Tyler Wade",15730,642180
"Marco Luciano","SFG",4,12,0,2,0,0,0.08333333,0.41666667,0.09090909,0.5,0.27272727,0.33333333,0.36363636,0.30867214997609455,0.28,96.07905589136085,0.2771278587169945,0.21913396827337447,0.7606453243643045,0.13837417492692383,"Marco Luciano",25616,682617
"Zack Collins","CLE",2,6,0,0,0,0,0.33333333,0.33333333,0,1,0.5,0.66666667,0.5,0.5259614984194437,0.528,247.59381008684093,-0.030496204271912575,1.0323099761176702,0.14717420376837254,0.1383382044361481,"Zack Collins",19181,641470
"Wade Meckler","SFG",15,49,0,6,3,0,0.12244898,0.42857143,0.02380953,0.52380952,0.26190476,0.36734694,0.28571429,0.30543195593113803,0.299,93.89755046909245,-0.12960886815562844,-0.498170924611129,0.21729082614183426,0.1372995493338043,"Wade Meckler",31490,685133
"David Fry","CLE",42,91,4,10,13,2,0.06593407,0.28571429,0.17857143,0.31481481,0.25,0.30769231,0.42857143,0.3187308580010802,0.334,104.30412912669314,0.3398949350230396,0.8099636641091943,-2.569608137011528,0.13528247491723694,"David Fry",24934,681807
"Joey Bart","SFG",26,84,0,8,4,0,0.02380952,0.25,0.06410256,0.31578947,0.23076923,0.28571429,0.29487179,0.2617069646006539,0.241,64.4590957492085,0.25514303566887975,-3.424605196376378,1.926104187965393,0.1337750424157893,"Joey Bart",21524,663698
"Michael Massey","KCR",106,378,10,29,43,6,0.05291005,0.21957672,0.13142857,0.25670498,0.22,0.26525199,0.35142857,0.26791977360646985,0.315,62.60930118337784,1.8858307679183781,-15.076676964517176,3.443236231803894,0.12996831042712123,"Michael Massey",27684,686681
"Tony Kemp","OAK",106,366,4,38,24,12,0.1010929,0.09289617,0.09872611,0.22939068,0.21656051,0.30833333,0.31528662,0.2815011802646849,0.304,80.74517999469855,-0.6361539359204471,-9.09391136629538,-2.1468387246131897,0.12817745711838913,"Tony Kemp",14894,643393
"David Peralta","LAD",111,355,7,40,49,3,0.05070423,0.16056338,0.12424242,0.30147059,0.26969697,0.30422535,0.39393939,0.29981023174221233,0.319,88.65052593925667,-2.9387307898141444,-7.904819072109352,-2.867609977722168,0.12186327730719859,"David Peralta",2136,444482
"Jonathan Davis","MIA",34,104,2,22,10,1,0.06730769,0.27884615,0.13333334,0.32786885,0.24444444,0.30693069,0.37777778,0.2981234865613503,0.295,85.47696772288943,0.47465740516781807,-1.387005254448277,-0.9212838113307953,0.12037218546458824,"Jonathan Davis",15104,641505
