"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid","mlbamid"
"Kyle Wright","ATL","0","1","0","4","4","16.2","9.18","4.86","1.08",".306","71.4%","64.0%","20.0%","94.0","4.86","5.33","4.88","4.27","0.1","19665","657140"
"Joe Jimenez","ATL","0","0","0","9","0","8.0","11.25","2.25","1.13",".318","81.4%","30.4%","10.0%","95.0","2.25","4.57","3.26","3.62","0.1","15761","641729"
"Mike Clevinger","CHW","2","2","0","6","6","29.1","7.98","4.60","1.53",".310","81.0%","36.3%","11.9%","94.6","4.60","5.65","5.57","5.62","0.1","12808","605182"
"Brent Headrick","MIN","0","0","1","3","0","8.1","12.96","4.32","1.08",".188","75.8%","17.6%","9.1%","92.2","3.24","4.27","3.50","4.04","0.1","27702","687396"
"Trevor Stephan","CLE","1","0","1","13","0","12.1","10.22","2.92","1.46",".290","100.0%","40.6%","14.3%","95.1","1.46","4.07","4.19","3.89","0.1","19932","663986"
"Collin McHugh","ATL","0","0","0","5","0","6.1","4.26","4.26","0.00",".381","90.9%","47.6%","0.0%","","1.42","5.91","3.86","5.61","0.1","7531","543521"
"Andrew Bellatti","PHI","1","0","0","10","0","8.2","10.38","6.23","1.04",".385","70.5%","37.0%","10.0%","94.5","6.23","5.16","4.65","4.98","0.1","10657","571479"
"Cionel Perez","BAL","1","0","0","13","0","10.1","8.71","6.97","0.00",".462","77.8%","36.1%","0.0%","97.1","5.23","6.03","4.06","5.44","0.1","19614","672335"
"Keegan Thompson","CHC","1","1","0","10","0","15.0","7.20","7.20","0.00",".108","81.3%","38.9%","0.0%","94.0","1.80","3.33","4.18","6.09","0.1","19795","624522"
"Seranthony Dominguez","PHI","1","1","0","13","0","11.1","9.53","4.76","0.79",".361","58.3%","48.6%","9.1%","98.0","6.35","4.92","4.53","4.92","0.1","19249","622554"
"Rob Zastryzny","PIT","1","0","0","7","0","5.2","9.53","7.94","0.00",".375","54.5%","46.7%","0.0%","93.1","7.94","3.30","3.91","5.31","0.1","15094","642239"
"Zack Burdi","TBR","0","0","0","2","0","3.0","12.00","3.00","0.00",".167","100.0%","50.0%","0.0%","94.0","0.00","1.23","1.72","3.30","0.1","19159","641420"
"Rich Hill","PIT","3","2","0","6","6","32.1","7.52","2.51","1.95",".302","79.5%","34.3%","16.7%","87.7","4.18","6.80","5.36","4.61","0.1","4806","448179"
"Kyle Bradish","BAL","1","1","0","4","4","14.2","8.59","4.30","1.23",".383","71.4%","55.1%","22.2%","","6.14","4.45","4.88","4.08","0.1","24586","680694"
"Brock Stewart","MIN","1","0","0","2","0","3.0","12.00","3.00","0.00",".200","100.0%","60.0%","0.0%","96.3","0.00","1.19","1.72","2.25","0.1","16727","592779"
"Jason Adam","TBR","0","0","0","11","0","10.1","8.71","3.48","0.87",".192","83.3%","51.9%","14.3%","93.4","1.74","4.24","4.16","3.97","0.1","11861","592094"
"Pete Fairbanks","TBR","0","0","3","8","0","7.2","7.04","4.70","0.00",".150","100.0%","68.4%","0.0%","98.0","0.00","2.10","3.77","4.60","0.0","17998","664126"
"Dylan Dodd","ATL","1","1","0","2","2","9.1","5.79","0.96","1.93",".424","63.4%","37.1%","11.8%","92.1","7.71","7.52","5.20","5.31","0.0","29928","689266"
"Sean Hjelle","SFG","1","0","0","9","0","12.1","11.68","5.11","0.73",".436","50.8%","48.7%","12.5%","","7.30","5.29","4.03","4.01","0.0","21481","663546"
"Julian Merryweather","CHC","0","0","0","11","0","11.2","10.80","2.31","1.54",".364","56.3%","40.0%","13.3%","97.2","6.94","3.95","3.98","3.79","0.0","16703","657240"
"Victor Gonzalez","LAD","0","0","0","3","0","2.2","10.13","3.38","0.00",".333","100.0%","66.7%","0.0%","","0.00","3.71","2.26","2.26","0.0","16408","624647"
"Amir Garrett","KCR","0","0","0","13","0","12.1","8.03","4.38","0.73",".333","90.9%","42.9%","6.7%","94.9","2.19","5.12","4.11","4.99","0.0","14375","607237"
"Richard Lovelady","OAK","0","0","0","6","0","6.0","7.50","6.00","0.00",".250","87.5%","62.5%","0.0%","90.5","0.00","4.48","3.72","4.51","0.0","19337","663992"
"Calvin Faucher","TBR","0","1","0","8","4","14.0","7.07","3.86","1.29",".311","64.4%","55.3%","15.4%","95.2","6.43","5.87","5.17","4.78","0.0","20116","676534"
"Albert Abreu","NYY","0","0","0","9","0","13.1","10.13","6.75","0.68",".324","64.8%","44.7%","7.1%","97.0","5.40","1.80","4.36","5.05","0.0","17485","656061"
"Joe Kelly","CHW","0","1","0","5","0","4.2","13.50","1.93","1.93",".417","53.6%","53.8%","20.0%","98.7","7.71","4.04","3.81","2.73","0.0","9761","523260"
"Chris Devenski","LAA","0","0","0","1","0","1.0","9.00","0.00","0.00",".000","100.0%","50.0%","0.0%","93.8","0.00","","1.38","2.97","0.0","12763","606965"
