"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Lucas Gilbreath","COL","0","0","0","4","0","3.1","8.10","10.80","2.70",".417","52.1%","61.5%","50.0%","92.6","16.20","","9.70","6.62","-0.2","21290"
"Aaron Fletcher","PIT","0","1","0","8","0","8.2","6.23","3.12","2.08",".286","53.0%","46.7%","18.2%","","9.35","","6.80","5.52","-0.2","22052"
"Will Smith","ATL","0","0","1","10","0","10.1","6.97","2.61","2.61",".040","71.4%","44.4%","23.1%","91.8","2.61","","6.20","4.14","-0.2","8048"
"Aaron Brooks","STL","0","0","0","5","0","9.1","6.75","1.93","2.89",".267","61.2%","39.4%","23.1%","93.8","7.71","","6.75","4.46","-0.2","12272"
"Dinelson Lamet","SDP","0","1","0","8","0","6.2","12.15","5.40","2.70",".333","76.1%","25.0%","22.2%","94.9","5.40","","6.55","4.49","-0.2","17186"
"Hunter Strickland","CIN","0","1","0","10","0","9.2","6.52","11.17","0.93",".300","69.4%","35.5%","6.7%","95.7","7.45","","7.04","7.80","-0.2","7836"
"Trevor May","NYM","1","0","1","8","0","8.1","5.40","3.24","2.16",".355","60.6%","39.4%","14.3%","96.1","8.64","","6.10","5.27","-0.2","6398"
"Lou Trivino","OAK","0","2","2","5","0","4.1","10.38","8.31","2.08",".467","37.7%","43.8%","25.0%","96.3","12.46","","6.57","4.82","-0.2","15043"
"Matt Bush","TEX","1","1","1","11","1","10.1","10.45","1.74","2.61",".250","71.4%","30.0%","21.4%","97.0","4.35","","5.72","3.78","-0.2","1246"
"Jonathan Loaisiga","NYY","0","1","0","11","0","10.0","9.00","5.40","1.80",".250","71.4%","46.2%","22.2%","","5.40","","5.50","4.13","-0.2","19753"
"Jose Suarez","LAA","0","2","0","4","4","17.0","7.94","5.82","2.12",".300","73.8%","24.5%","17.4%","93.2","6.35","","6.34","5.12","-0.2","19911"
"Ryan Tepera","LAA","1","0","1","11","0","12.0","6.75","3.75","1.50",".071","100.0%","26.7%","13.3%","92.5","1.50","","5.02","4.55","-0.2","10291"
"Domingo Acevedo","OAK","0","1","0","12","0","13.0","9.00","2.08","2.08",".294","85.9%","35.1%","23.1%","93.4","4.15","","5.03","3.39","-0.2","17092"
"Zach Thompson","PIT","1","3","0","5","4","15.1","7.63","5.87","2.35",".364","45.8%","45.8%","21.1%","93.0","9.39","","6.76","5.05","-0.2","16094"
"Matt Brash","SEA","1","3","0","5","5","20.0","8.55","7.65","1.35",".382","66.1%","56.9%","25.0%","96.3","7.65","","5.85","4.72","-0.2","25756"
"Bryce Elder","ATL","1","3","0","4","4","19.0","5.68","6.63","1.42",".263","79.9%","51.7%","15.8%","","4.74","","6.26","5.57","-0.2","27779"
"Javy Guerra","- - -","0","0","0","7","0","7.1","4.91","4.91","3.68",".296","55.6%","40.0%","27.3%","97.5","11.05","","8.97","5.69","-0.2","17292"
"Heath Hembree","PIT","1","0","0","11","0","8.1","6.48","6.48","2.16",".320","75.8%","25.9%","20.0%","94.6","6.48","","6.94","5.45","-0.2","11632"
"Dereck Rodriguez","MIN","0","0","0","1","0","4.0","4.50","6.75","6.75",".091","100.0%","50.0%","42.9%","92.0","6.75","","14.10","6.73","-0.2","14509"
"Tommy Romero","TBR","0","0","0","2","1","3.2","9.82","12.27","4.91",".143","76.9%","22.2%","33.3%","90.5","9.82","","12.10","7.24","-0.3","23465"
