Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Trea Turner","PHI",155,691,26,102,76,30,0.06512301,0.2170767,0.192488263,0.310344827,0.266040688,0.319826338,0.458528951,0.3331617660204108,0.33,107.93040784453952,7.122840996365994,13.91239682802158,0.7008600234985352,3.803303227783706,"Trea Turner",16252,607208
"Josh Lowe","TBR",135,501,20,71,83,32,0.061876247,0.24750499,0.208154507,0.356923076,0.291845493,0.335329341,0.5,0.3540242807659692,0.342,130.99798929455287,6.579670697916299,25.187707679556322,-5.030590176582336,3.706819408959755,"Josh Lowe",19953,666139
"Andrés Giménez","CLE",153,616,15,76,62,30,0.051948051,0.181818181,0.147217235,0.288683602,0.251346499,0.31372549,0.398563734,0.3091411436915593,0.3,97.41751942042437,2.574849390424788,0.6687432204950028,14.859299898147583,3.6347484367794003,"Andres Gimenez",19950,665926
"Paul Goldschmidt","STL",154,687,25,89,80,11,0.126637554,0.234352256,0.178752108,0.326829268,0.268128161,0.36297376,0.446880269,0.35016118428286386,0.367,122.19012819565893,2.217042038682848,21.104971062050218,-8.284109830856323,3.6109970674089906,"Paul Goldschmidt",9218,502671
"Nolan Jones","COL",106,424,20,60,62,20,0.125,0.297169811,0.245231608,0.4009009,0.297002724,0.389150943,0.542234332,0.3949998048025752,0.36,134.9611221589872,2.9190974589437246,21.285284983431097,-0.6178598403930664,3.500427948746638,"Nolan Jones",20529,666134
"Ian Happ","CHC",158,691,21,86,84,14,0.143270622,0.221418234,0.18275862,0.298543689,0.248275862,0.360347322,0.431034482,0.345266002875108,0.349,117.53663694882982,1.1949381181038916,16.208790872919913,-4.646550178527832,3.4990777816806276,"Ian Happ",17919,664023
"Manny Machado","SDP",138,601,30,75,91,3,0.083194675,0.181364392,0.20441989,0.268292682,0.257826887,0.319467554,0.462246777,0.3339012611905734,0.332,114.17192577841263,-3.5213470365852118,7.031536251232845,7.352880358695984,3.4749050841180935,"Manny Machado",11493,592518
"Willy Adames","MIL",149,638,24,73,80,5,0.111285266,0.258620689,0.189873418,0.259459459,0.216998191,0.309748427,0.406871609,0.31140403212524775,0.341,93.64570279877661,0.04885514220222831,-4.974061792580589,17.803000450134277,3.4454312462418923,"Willy Adames",15986,642715
"Matt Chapman","TOR",140,581,17,66,54,4,0.106712564,0.283993115,0.184675835,0.319148936,0.239685658,0.330464716,0.424361493,0.3283741363163652,0.339,110.03788240131378,2.132510011550039,9.120423930914459,5.457870006561279,3.4215006155533816,"Matt Chapman",16505,656305
"Luis Arraez","MIA",147,617,10,71,69,3,0.056726094,0.055105348,0.114982578,0.362101313,0.353658536,0.392857142,0.468641114,0.368929385155341,0.353,132.01238857751432,-2.6983456374146044,21.773743041062584,-8.516390204429626,3.4168476733510396,"Luis Arraez",18568,650333
